tableId,correctnessAlwaysFirst,correctnessAlwaysEmpty,correctnessChen,correctnessClassifierFeatures,correctnessClassifierStacking,correctnessFindCountry,correctnessFindCountryNames,correctnessFindCrossing,correctnessFindHtmlHeader,correctnessFindHtmlStyle,correctnessTengli,numberOfColumns,numberOfRows,numberOfCells,columnsToRowsRatio,columnsToCellsRatio,rowsToColumnsRatio,rowsToCellsRatio,cellsToColumnsRatio,cellsToRowsRatio,numberOfCellsContainingCountry,percentageOfCellsContainingCountry,containsCountry,numberOfCellsContainingCountr,percentageOfCellsContainingCountr,containsCountr,numberOfNumericCells,percentageOfNumericCells,numberOfBlankCells,percentageOfBlankCells,numberOfCellsStartingWithCapitals,percentageOfCellsStartingWithCapitals,numberOfCellsAllCapitalized,percentageOfCellsAllCapitalized,numberOfCellsAllLowercase,percentageOfCellsAllLowercase,numberOfCellsWithRowspan,percentageOfCellsWithRowspan,numberOfCellsWithColspan,percentageOfCellsWithColspan,numberOfCellsWithStyleClass,percentageOfCellsWithStyleClass,numberOfCellsWithInlineStyle,percentageOfCellsWithInlineStyle,numberOfCellsWithId,percentageOfCellsWithId,numberOfCellsContainingCountryNames,percentageOfCellsContainingCountryNames,avgNumberOfWords,sdNumberOfWords,minNumberOfWords,maxNumberOfWords,avgNumberOfCharacters,sdNumberOfCharacters,minNumberOfCharacters,maxNumberOfCharacters,avgNumberOfLetters,sdNumberOfLetters,minNumberOfLetters,maxNumberOfLetters,avgNumberOfNumbers,sdNumberOfNumbers,minNumberOfNumbers,maxNumberOfNumbers,avgNumberOfPunctuationMarks,sdNumberOfPunctuationMarks,minNumberOfPunctuationMarks,maxNumberOfPunctuationMarks,avgColspanLength,sdColspanLength,minColspanLength,maxColspanLength,avgRowspanLength,sdRowspanLength,minRowspanLength,maxRowspanLength
47535278_6335293790778928458-0,false,false,true,false,false,false,false,true,false,false,true,10,4,40,2.5,0.25,0.4000000059604645,0.10000000149011612,4.0,10.0,0,0.0,false,0,0.0,false,15,0.38,0,0.0,13,0.33,8,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.05,1.0,0.0,1,1,1.88,2.28,0,9,1.88,2.28,0,9,1.3,2.13,0,8,0.32,0.62,0,2,0.0,0.0,0,0,0.0,0.0,0,0
Corruption around the world.html-0,false,false,true,false,false,false,true,false,false,false,true,7,179,1253,0.03910614550113678,0.005586592014878988,25.571428298950195,0.1428571492433548,179.0,7.0,0,0.0,false,0,0.0,false,586,0.47,2,0.0,185,0.15,0,0.0,0,0.0,0,0.0,7,0.01,1246,0.99,0,0.0,0,0.0,168,0.13,1.03,0.22,1,4,1.6,3.09,0,24,1.6,3.09,0,24,1.82,0.91,0,3,0.39,0.49,0,2,0.04,0.52,0,7,0.0,0.0,0,0
www.global-rates.com-inflation.html-0,false,false,true,true,false,true,true,true,false,false,false,6,63,378,0.095238097012043,0.01587301678955555,10.5,0.1666666716337204,63.0,6.0,1,0.0,true,1,0.0,true,0,0.0,0,0.0,62,0.16,0,0.0,64,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,59,0.16,1.38,0.53,1,3,6.58,4.0,3,21,6.58,4.0,3,21,1.97,2.0,0,4,0.76,1.12,0,3,0.0,0.0,0,0,0.0,0.0,0,0
Global freedom on the net.html-0,true,false,true,true,false,true,true,true,false,false,false,7,38,266,0.18421052396297455,0.02631578966975212,5.4285712242126465,0.1428571492433548,38.0,7.0,1,0.0,true,1,0.0,true,163,0.61,0,0.0,74,0.28,2,0.01,23,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37,0.14,1.3,1.2,1,10,3.22,6.56,0,48,3.22,6.56,0,48,1.29,1.27,0,8,0.02,0.14,0,1,0.0,0.0,0,0,0.0,0.0,0,0
48697601_4709667741109016415-0,false,false,true,true,false,true,true,true,false,false,true,6,37,222,0.1621621549129486,0.027027027681469917,6.166666507720947,0.1666666716337204,37.0,6.0,1,0.0,true,1,0.0,true,39,0.18,0,0.0,141,0.64,25,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,0.15,1.36,0.52,1,3,4.86,5.24,0,29,4.86,5.24,0,29,1.18,1.43,0,4,0.2,0.41,0,2,0.0,0.0,0,0,0.0,0.0,0,0
86.html-0,true,false,false,true,false,true,false,true,false,false,true,4,51,204,0.0784313753247261,0.019607843831181526,12.75,0.25,51.0,4.0,1,0.0,true,1,0.0,true,4,0.02,2,0.01,54,0.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.27,0.47,1,3,6.63,5.86,0,25,6.63,5.86,0,25,3.03,3.26,0,9,0.85,0.9,0,4,0.0,0.0,0,0,0.0,0.0,0,0
Countries water use per capita.html-0,true,false,true,true,false,true,true,true,false,false,true,4,178,712,0.02247191034257412,0.00561797758564353,44.5,0.25,178.0,4.0,1,0.0,true,1,0.0,true,187,0.26,157,0.22,201,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,162,0.23,1.15,0.57,1,6,3.16,5.86,0,46,3.16,5.86,0,46,1.97,1.99,0,4,0.26,0.46,0,4,0.0,0.0,0,0,0.0,0.0,0,0
Treaty Countries.htmle4c9da69-e91f-45f2-afe9-5a6947a77fc2.html-0,true,false,true,true,false,true,true,true,false,false,false,3,135,405,0.02222222276031971,0.007407407276332378,45.0,0.3333333432674408,135.0,3.0,1,0.0,true,1,0.0,true,0,0.0,0,0.0,405,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,94,0.23,1.81,1.0,1,7,6.81,4.9,2,48,6.81,4.9,2,48,2.34,2.44,0,6,0.71,0.52,0,3,0.0,0.0,0,0,0.0,0.0,0,0
countries troops in ISAF.html-0,false,false,false,false,false,false,true,false,false,false,true,5,45,225,0.1111111119389534,0.02222222276031971,9.0,0.20000000298023224,45.0,5.0,0,0.0,false,0,0.0,false,33,0.15,0,0.0,49,0.22,0,0.0,0,0.0,0,0.0,5,0.02,220,0.98,0,0.0,0,0.0,43,0.19,1.06,0.28,1,3,2.53,3.68,0,22,2.53,3.68,0,22,2.52,1.49,0,5,0.64,0.49,0,2,0.11,0.74,0,5,0.0,0.0,0,0
Countries water usage.html-0,true,false,true,true,false,true,true,true,false,false,true,4,178,712,0.02247191034257412,0.00561797758564353,44.5,0.25,178.0,4.0,1,0.0,true,1,0.0,true,182,0.26,89,0.13,269,0.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,162,0.23,1.25,0.63,1,7,4.42,6.43,0,48,4.42,6.43,0,48,1.74,1.81,0,4,0.27,0.5,0,6,0.0,0.0,0,0,0.0,0.0,0,0
www.theatlanticcities.com-jobs-and-economy.html-0,true,false,false,false,false,true,false,true,false,false,false,3,21,63,0.1428571492433548,0.0476190485060215,7.0,0.3333333432674408,21.0,3.0,1,0.02,true,1,0.02,true,0,0.0,0,0.0,4,0.06,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.44,0.69,1,4,5.21,5.06,2,25,5.21,5.06,2,25,2.97,1.4,0,4,1.56,0.62,0,2,0.0,0.0,0,0,0.0,0.0,0,0
relev3.html-0,true,false,true,true,false,true,true,true,false,false,true,3,198,594,0.01515151560306549,0.005050505045801401,66.0,0.3333333432674408,198.0,3.0,1,0.0,true,1,0.0,true,28,0.05,0,0.0,200,0.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,186,0.31,1.1,0.45,1,5,3.86,4.5,0,33,3.86,4.5,0,33,4.05,3.16,0,10,0.92,0.81,0,3,0.0,0.0,0,0,0.0,0.0,0,0
Countries top selling cigarette.html-0,false,false,true,false,false,false,true,false,false,false,true,2,123,246,0.016260161995887756,0.008130080997943878,61.5,0.5,123.0,2.0,0,0.0,false,0,0.0,false,1,0.0,0,0.0,244,0.99,1,0.0,0,0.0,0,0.0,2,0.01,244,0.99,0,0.0,0,0.0,117,0.48,1.29,0.62,1,5,8.07,3.47,0,33,8.07,3.47,0,33,0.04,0.32,0,3,0.05,0.22,0,1,0.02,0.18,0,2,0.0,0.0,0,0
10.html-0,true,false,true,true,false,true,true,true,false,false,false,6,190,1140,0.031578946858644485,0.005263158120214939,31.66666603088379,0.1666666716337204,190.0,6.0,1,0.0,true,1,0.0,true,0,0.0,0,0.0,1123,0.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,315,0.28,1.71,1.15,1,11,11.28,8.17,1,66,11.28,8.17,1,66,0.0,0.0,0,0,0.12,0.43,0,4,0.0,0.0,0,0,0.0,0.0,0,0
www.japanafricanet.com-presidents.html-0,true,false,true,true,false,true,true,true,false,false,false,2,29,58,0.06896551698446274,0.03448275849223137,14.5,0.5,29.0,2.0,1,0.02,true,1,0.02,true,0,0.0,0,0.0,58,1.0,20,0.34,0,0.0,0,0.0,0,0.0,28,0.48,0,0.0,0,0.0,25,0.43,16.31,33.47,1,187,91.62,176.93,4,1015,91.62,176.93,4,1015,16.66,43.22,0,209,8.55,18.53,0,89,0.0,0.0,0,0,0.0,0.0,0,0
Countries nuclear programs.html-0,false,false,true,true,false,false,true,false,false,false,true,3,37,111,0.0810810774564743,0.027027027681469917,12.333333015441895,0.3333333432674408,37.0,3.0,0,0.0,false,0,0.0,false,0,0.0,33,0.3,76,0.68,0,0.0,0,0.0,0,0.0,3,0.03,108,0.97,0,0.0,0,0.0,32,0.29,2.5,2.95,1,28,16.2,21.62,0,175,16.2,21.62,0,175,0.14,0.92,0,8,0.07,0.35,0,3,0.08,0.49,0,3,0.0,0.0,0,0
42551289_4358798913390878859-0,true,false,true,true,false,true,true,true,false,false,false,4,14,56,0.2857142984867096,0.0714285746216774,3.5,0.25,14.0,4.0,1,0.02,true,1,0.02,true,5,0.09,0,0.0,17,0.3,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.2,1.07,0.32,1,3,3.18,4.32,0,23,3.18,4.32,0,23,2.55,1.96,0,6,0.59,0.5,0,1,0.0,0.0,0,0,0.0,0.0,0,0
67367570_3354779367295660538-0,true,false,true,true,false,true,false,true,false,false,false,4,29,116,0.13793103396892548,0.03448275849223137,7.25,0.25,29.0,4.0,1,0.01,true,1,0.01,true,28,0.24,0,0.0,31,0.27,0,0.0,0,0.0,0,0.0,0,0.0,112,0.97,0,0.0,0,0.0,15,0.13,1.23,0.69,1,4,4.16,5.7,0,23,4.16,5.7,0,23,1.88,1.22,0,3,1.1,0.96,0,3,0.0,0.0,0,0,0.0,0.0,0,0
87022978_2241188169338211567-0,false,false,false,false,false,true,false,false,false,false,false,4,32,128,0.125,0.03125,8.0,0.25,32.0,4.0,1,0.01,true,1,0.01,true,0,0.0,31,0.24,35,0.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3.41,3.77,1,20,24.46,31.79,0,149,24.46,31.79,0,149,0.0,0.0,0,0,1.06,1.76,0,12,0.0,0.0,0,0,0.0,0.0,0,0
11637617_5411182655984665030-0,true,false,true,true,false,true,false,true,false,false,false,3,21,63,0.1428571492433548,0.0476190485060215,7.0,0.3333333432674408,21.0,3.0,1,0.02,true,1,0.02,true,0,0.0,0,0.0,23,0.37,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.24,2.29,1.83,1,8,6.92,4.54,2,19,6.92,4.54,2,19,2.19,2.12,0,8,1.13,1.04,0,4,0.0,0.0,0,0,0.0,0.0,0,0
theatlantic.com.html-0,true,false,true,true,false,true,true,true,false,false,false,3,27,81,0.1111111119389534,0.03703703731298447,9.0,0.3333333432674408,27.0,3.0,1,0.01,true,1,0.01,true,0,0.0,0,0.0,29,0.36,1,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.31,1.19,0.81,1,6,4.07,5.86,1,35,4.07,5.86,1,35,2.04,1.56,0,4,0.72,0.6,0,3,0.0,0.0,0,0,0.0,0.0,0,0
86558718_9176457629434623062-0,false,false,true,true,false,false,false,false,true,false,true,5,11,55,0.4545454680919647,0.09090909361839294,2.200000047683716,0.20000000298023224,11.0,5.0,0,0.0,false,0,0.0,false,0,0.0,0,0.0,41,0.75,0,0.0,0,0.0,0,0.0,0,0.0,55,1.0,0,0.0,0,0.0,0,0.0,3.24,2.91,1,14,20.69,20.12,4,88,20.69,20.12,4,88,1.78,3.08,0,8,1.35,1.83,0,5,0.0,0.0,0,0,0.0,0.0,0,0
livingingreece.gr-2008.html-0,false,false,false,false,false,false,false,false,false,false,false,4,31,124,0.12903225421905518,0.032258063554763794,7.75,0.25,31.0,4.0,1,0.01,true,1,0.01,true,46,0.37,25,0.2,15,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.03,0,0.0,0,0.0,2.73,6.2,1,47,11.32,38.19,0,298,11.32,38.19,0,298,2.05,2.09,0,12,0.57,1.32,0,12,0.0,0.0,0,0,0.0,0.0,0,0
44338110_1008430391919080377-0,false,false,false,true,false,false,true,false,false,false,true,7,12,84,0.5833333134651184,0.0833333358168602,1.7142857313156128,0.1428571492433548,12.0,7.0,0,0.0,false,0,0.0,false,32,0.38,0,0.0,51,0.61,7,0.08,0,0.0,0,0.0,0,0.0,73,0.87,0,0.0,0,0.0,11,0.13,1.4,0.75,1,3,6.93,8.36,0,28,6.93,8.36,0,28,1.83,2.31,0,5,0.19,0.53,0,3,0.0,0.0,0,0,0.0,0.0,0,0
Length of Land Boundaries Border Countries by Country.html-0,false,false,true,false,false,false,false,false,false,false,true,3,165,495,0.0181818176060915,0.0060606058686971664,55.0,0.3333333432674408,165.0,3.0,0,0.0,false,0,0.0,false,0,0.0,1,0.0,329,0.66,0,0.0,0,0.0,0,0.0,3,0.01,492,0.99,0,0.0,0,0.0,146,0.29,5.43,7.39,1,57,22.45,32.73,0,255,22.45,32.73,0,255,6.02,6.98,0,56,0.79,1.23,0,12,0.02,0.23,0,3,0.0,0.0,0,0
saschastab (6).html-0,true,false,true,true,false,true,true,false,false,false,true,4,13,52,0.3076923191547394,0.07692307978868484,3.25,0.25,13.0,4.0,0,0.0,false,0,0.0,false,3,0.06,7,0.13,13,0.25,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,9,0.17,1.08,0.33,1,3,2.92,3.94,0,20,2.92,3.94,0,20,3.63,3.11,0,8,0.79,0.8,0,2,0.0,0.0,0,0,0.0,0.0,0,0
99959905_454308717018574439-0,true,false,true,true,false,true,true,true,false,false,false,3,19,57,0.15789473056793213,0.05263157933950424,6.333333492279053,0.3333333432674408,19.0,3.0,1,0.02,true,1,0.02,true,32,0.56,3,0.05,18,0.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.23,1.14,0.35,1,2,2.82,4.24,0,14,2.82,4.24,0,14,1.05,0.97,0,2,0.11,0.36,0,2,0.0,0.0,0,0,0.0,0.0,0,0
min legal to buy alcohol.html-0,false,false,true,true,false,false,true,false,false,false,true,3,247,741,0.012145749293267727,0.004048583097755909,82.33333587646484,0.3333333432674408,247.0,3.0,0,0.0,false,0,0.0,false,112,0.15,219,0.3,380,0.51,0,0.0,0,0.0,0,0.0,3,0.0,738,1.0,0,0.0,0,0.0,183,0.25,1.65,4.3,1,73,6.88,25.36,0,429,6.88,25.36,0,429,0.48,1.11,0,10,0.24,0.78,0,10,0.01,0.19,0,3,0.0,0.0,0,0
www-958.ibm.com.html-0,false,false,true,true,false,false,true,false,false,false,false,3,16,48,0.1875,0.0625,5.333333492279053,0.3333333432674408,16.0,3.0,1,0.02,true,1,0.02,true,18,0.38,1,0.02,16,0.33,0,0.0,0,0.0,0,0.0,0,0.0,16,0.33,0,0.0,0,0.0,10,0.21,1.48,0.85,1,5,6.23,9.21,0,41,6.23,9.21,0,41,0.92,0.9,0,3,0.46,0.82,0,3,0.0,0.0,0,0,0.0,0.0,0,0
Countries malaria deaths.html-0,true,false,true,true,false,true,true,false,false,false,false,3,107,321,0.028037382289767265,0.009345794096589088,35.66666793823242,0.3333333432674408,107.0,3.0,1,0.0,true,1,0.0,true,191,0.6,0,0.0,109,0.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,94,0.29,1.12,0.46,1,5,3.19,5.21,0,32,3.19,5.21,0,32,2.05,1.78,0,5,0.11,0.39,0,3,0.0,0.0,0,0,0.0,0.0,0,0
countries bordering only one other country.html-0,true,false,true,false,false,true,true,true,false,false,false,4,18,72,0.2222222238779068,0.0555555559694767,4.5,0.25,18.0,4.0,1,0.01,true,1,0.01,true,13,0.18,2,0.03,53,0.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,0.46,4.44,8.63,1,51,26.1,54.85,0,315,26.1,54.85,0,315,0.68,1.24,0,4,0.74,1.5,0,8,0.0,0.0,0,0,0.0,0.0,0,0
www.hmrc.gov.uk-countrycodes.html-0,true,false,false,true,false,true,false,false,false,false,false,4,28,112,0.1428571492433548,0.0357142873108387,7.0,0.25,28.0,4.0,1,0.01,true,1,0.01,true,0,0.0,0,0.0,85,0.76,18,0.16,2,0.02,0,0.0,0,0.0,4,0.04,0,0.0,0,0.0,21,0.19,2.81,2.95,1,17,15.11,18.02,2,120,15.11,18.02,2,120,3.89,8.88,0,57,1.34,1.44,0,9,0.0,0.0,0,0,0.0,0.0,0,0
bbs.com.html-0,false,false,false,true,false,false,false,false,false,false,false,4,14,56,0.2857142984867096,0.0714285746216774,3.5,0.25,14.0,4.0,1,0.02,true,1,0.02,true,0,0.0,0,0.0,23,0.41,1,0.02,0,0.0,0,0.0,8,0.14,56,1.0,0,0.0,0,0.0,9,0.16,3.23,6.29,1,25,16.04,38.88,1,151,16.04,38.88,1,151,2.25,2.08,0,8,1.18,1.25,0,5,0.57,1.41,0,4,0.0,0.0,0,0
32855745_5607717664966962971-0,false,false,true,false,false,false,false,false,false,false,false,9,52,468,0.17307692766189575,0.01923076994717121,5.777777671813965,0.1111111119389534,52.0,9.0,0,0.0,false,0,0.0,false,51,0.11,0,0.0,234,0.5,39,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.03,1.41,0.61,1,3,4.18,4.92,0,22,4.18,4.92,0,22,1.01,1.07,0,3,0.18,0.55,0,3,0.0,0.0,0,0,0.0,0.0,0,0
94546789_2352411166996579879-0,false,false,true,true,false,false,true,true,false,false,true,6,6,36,1.0,0.1666666716337204,1.0,0.1666666716337204,6.0,6.0,0,0.0,false,0,0.0,false,20,0.56,6,0.17,10,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.11,1.06,0.23,1,2,2.14,3.69,0,11,2.14,3.69,0,11,1.28,1.39,0,4,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
49342990_5316445485091539773-0,false,false,false,true,false,false,true,false,false,false,false,7,18,126,0.3888888955116272,0.0555555559694767,2.5714285373687744,0.1428571492433548,18.0,7.0,1,0.01,true,1,0.01,true,50,0.4,0,0.0,38,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.19,126,1.0,14,0.11,1.13,0.39,1,3,2.9,4.62,0,18,2.9,4.62,0,18,1.1,1.27,0,3,0.13,0.33,0,1,0.0,0.0,0,0,0.0,0.0,0,0
"List of country calling codes - Wikipedia, the free encyclopedia.htmac2b7557-f29c-4ae5-9b3a-acb97820c4b5.html-0",true,false,true,true,false,true,true,true,false,false,true,2,274,548,0.007299270015209913,0.0036496350076049566,137.0,0.5,274.0,2.0,1,0.0,true,1,0.0,true,0,0.0,0,0.0,275,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,191,0.35,1.49,1.01,1,7,6.72,7.49,1,44,6.72,7.49,1,44,11.2,11.52,0,70,0.74,0.97,0,9,0.0,0.0,0,0,0.0,0.0,0,0
94076072_8367472088470807555-0,false,false,true,true,false,true,true,true,false,false,false,5,29,145,0.17241379618644714,0.03448275849223137,5.800000190734863,0.20000000298023224,29.0,5.0,1,0.01,true,1,0.01,true,20,0.14,2,0.01,116,0.8,26,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,0.16,2.74,3.61,1,24,16.9,27.54,0,187,16.9,27.54,0,187,0.36,0.83,0,5,0.42,1.07,0,8,0.0,0.0,0,0,0.0,0.0,0,0
49327820_2184545431964856495-0,true,false,false,true,false,true,false,true,false,false,false,7,11,77,0.6363636255264282,0.09090909361839294,1.5714285373687744,0.1428571492433548,11.0,7.0,1,0.01,true,1,0.01,true,49,0.64,0,0.0,12,0.16,0,0.0,0,0.0,0,0.0,0,0.0,7,0.09,71,0.92,0,0.0,3,0.04,1.29,0.74,1,5,3.01,6.08,0,27,3.01,6.08,0,27,1.95,1.05,0,4,0.48,0.8,0,2,0.0,0.0,0,0,0.0,0.0,0,0
