tableId,label,length,numberOfIndex,percentageOfIndex,numberOfNumericCells,percentageOfNumericCells,numberOfBlankCells,percentageOfBlankCells,numberOfCellsStartingWithCapitals,percentageOfCellsStartingWithCapitals,numberOfCellsAllCapitalised,percentageOfCellsAllCapitalised,numberOfCellsAllLowercase,percentageOfCellsAllLowercase,numberOfCellsContainingCountry,percentageOfCellsContainingCountry,numberOfCellsContainingCountryNames,percentageOfCellsContainingCountryNames,numberOfCellsWithRowspan,percentageOfCellsWithRowspan,numberOfCellsWithColspan,percentageOfCellsWithColspan,numberOfCellsWithStyleClass,percentageOfCellsWithStyleClass,numberOfCellsWithInlineStyle,percentageOfCellsWithInlineStyle,hasStyleClass,hasInlineStyle,avgNumberOfWords,minNumberOfWords,maxNumberOfWords,sdNumberOfWords,avgNumberOfCharacters,minNumberOfCharacters,maxNumberOfCharacters,sdNumberOfCharacters,avgNumberOfLetters,minNumberOfLetters,maxNumberOfLetters,sdNumberOfLetters,avgNumberOfNumbers,minNumberOfNumbers,maxNumberOfNumbers,sdNumberOfNumbers,avgNumberOfPunctuationMarks,minNumberOfPunctuationMarks,maxNumberOfPunctuationMarks,sdNumberOfPunctuationMarks,avgRowspan,minRowspan,maxRowspan,sdRowspan,avgColspan,minColspan,maxColspan,sdColspan
74638655_5966129067611364549-0,false,37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,2.7,1,3,1.0,1.0,1,1,0.0,1.7,0,2,1.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
74638655_5966129067611364549-0,false,37,1,0.027027027681469917,3,0.0810810774564743,0,0.0,31,0.837837815284729,22,0.5945945978164673,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,2.03,2,3,0.0,1.51,0,2,1.0,0.51,0,3,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Minimum pensionable age for men.html-0,true,127,0,0.0,0,0.0,0,0.0,127,1.0,0,0.0,0,0.0,1,0.007874015718698502,112,0.8818897604942322,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.3,1,4,1.0,8.67,4,22,4.0,8.67,4,22,4.0,0.0,0,0,0.0,0.13,0,3,1.0,0.0,0,0,0.0,0.0,0,0,0.0
Minimum pensionable age for men.html-0,false,127,1,0.007874015718698502,122,0.960629940032959,0,0.0,1,0.007874015718698502,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.06,1,8,1.0,2.38,1,44,4.0,0.38,0,44,4.0,2.0,0,3,0.0,0.04,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
assembly.coe.int.html-0,false,38,1,0.02631578966975212,21,0.5526315569877625,0,0.0,2,0.05263157933950424,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02631578966975212,0,0.0,0,0.0,false,false,1.03,1,2,0.0,3.92,1,16,3.0,0.97,0,16,3.0,2.95,0,6,1.0,0.34,0,1,0.0,0.0,0,0,0.0,0.05,0,2,0.0
assembly.coe.int.html-0,true,38,0,0.0,0,0.0,0,0.0,33,0.8684210777282715,0,0.0,0,0.0,0,0.0,30,0.7894737124443054,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.37,1,7,1.0,8.74,1,44,7.0,8.55,1,37,6.0,0.18,0,7,1.0,0.16,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
assembly.coe.int.html-0,false,38,2,0.05263157933950424,0,0.0,0,0.0,1,0.02631578966975212,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02631578966975212,0,0.0,0,0.0,false,false,1.11,1,4,1.0,3.55,1,22,4.0,1.95,1,22,4.0,1.61,0,3,1.0,0.89,0,1,0.0,0.0,0,0,0.0,0.05,0,2,0.0
www.washingtonpost.com.html-0,false,34,3,0.0882352963089943,0,0.0,0,0.0,1,0.029411764815449715,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,4.26,4,12,1.0,1.32,1,12,2.0,2.94,0,4,1.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
www.washingtonpost.com.html-0,false,34,2,0.05882352963089943,0,0.0,0,0.0,1,0.029411764815449715,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,3.88,3,9,1.0,1.24,1,9,1.0,2.65,0,3,1.0,0.97,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
10805443_3820226652676022379-0,false,10,3,0.30000001192092896,0,0.0,0,0.0,1,0.10000000149011612,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,11.6,4,13,3.0,1.7,1,8,2.0,9.9,0,12,4.0,0.9,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
10805443_3820226652676022379-0,true,10,4,0.4000000059604645,0,0.0,0,0.0,10,1.0,9,0.8999999761581421,0,0.0,0,0.0,3,0.30000001192092896,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.1,1,2,0.0,3.4,3,7,1.0,3.4,3,7,1.0,0.0,0,0,0.0,0.1,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
www.spoonfork.org-isocodes-table.html-0,false,252,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,252,1.0,0,0.0,2,0.007936508394777775,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,2.04,2,4,0.0,2.04,2,4,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
10805443_3820226652676022379-0,false,10,5,0.5,6,0.6000000238418579,0,0.0,4,0.4000000059604645,3,0.30000001192092896,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,2.4,2,6,1.0,1.2,0,6,2.0,1.2,0,2,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
www.spoonfork.org-isocodes-table.html-0,true,252,1,0.003968254197388887,0,0.0,0,0.0,252,1.0,0,0.0,0,0.0,0,0.0,185,0.7341269850730896,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.53,1,9,1.0,10.54,4,48,7.0,10.52,4,44,7.0,0.02,0,4,0.0,0.16,0,5,1.0,0.0,0,0,0.0,0.0,0,0,0.0
10805443_3820226652676022379-0,false,10,6,0.6000000238418579,9,0.8999999761581421,0,0.0,1,0.10000000149011612,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.1,1,2,0.0,2.4,1,9,3.0,0.9,0,9,3.0,1.5,0,3,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
10805443_3820226652676022379-0,false,10,7,0.699999988079071,1,0.10000000149011612,0,0.0,9,0.8999999761581421,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.1,1,2,0.0,4.8,4,11,2.0,4.3,0,11,3.0,0.5,0,5,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
www.washingtonpost.com.html-0,true,34,0,0.0,0,0.0,0,0.0,34,1.0,0,0.0,0,0.0,1,0.029411764815449715,28,0.8235294222831726,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.29,1,3,1.0,8.76,5,18,4.0,8.76,5,18,4.0,0.0,0,0,0.0,0.03,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
10805443_3820226652676022379-0,false,10,8,0.800000011920929,0,0.0,0,0.0,10,1.0,9,0.8999999761581421,0,0.0,0,0.0,3,0.30000001192092896,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.1,1,2,0.0,2.5,2,7,2.0,2.5,2,7,2.0,0.0,0,0,0.0,0.1,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
www.washingtonpost.com.html-0,false,34,1,0.029411764815449715,0,0.0,0,0.0,1,0.029411764815449715,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,3.79,3,6,1.0,1.15,1,6,1.0,2.65,0,3,1.0,0.97,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
10805443_3820226652676022379-0,false,10,9,0.8999999761581421,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,8,0.800000011920929,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.4,1,2,1.0,9.2,7,13,3.0,9.2,7,13,3.0,0.0,0,0,0.0,0.1,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
bbs.com.html-0,true,14,0,0.0,0,0.0,0,0.0,14,1.0,1,0.0714285746216774,0,0.0,1,0.0714285746216774,9,0.6428571343421936,0,0.0,2,0.1428571492433548,14,1.0,0,0.0,false,false,3.21,1,25,6.0,19.93,2,159,41.0,19.21,2,151,39.0,0.71,0,8,2.0,0.43,0,5,1.0,0.0,0,0,0.0,0.57,0,4,1.0
bbs.com.html-0,false,14,1,0.0714285746216774,0,0.0,0,0.0,3,0.2142857164144516,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1428571492433548,14,1.0,0,0.0,false,false,3.21,1,25,6.0,17.14,3,159,42.0,14.71,1,151,40.0,2.43,0,8,2.0,1.43,1,5,1.0,0.0,0,0,0.0,0.57,0,4,1.0
bbs.com.html-0,false,14,2,0.1428571492433548,0,0.0,0,0.0,3,0.2142857164144516,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1428571492433548,14,1.0,0,0.0,false,false,3.21,1,25,6.0,17.57,4,159,42.0,14.64,1,151,40.0,2.93,0,8,2.0,1.43,1,5,1.0,0.0,0,0,0.0,0.57,0,4,1.0
www.theatlanticcities.com-jobs-and-economy.html-0,true,21,0,0.0,0,0.0,0,0.0,1,0.0476190485060215,0,0.0,0,0.0,1,0.0476190485060215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,2.1,1,3,0.0,11.14,7,18,3.0,9.67,7,16,3.0,1.48,0,2,1.0,0.95,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
bbs.com.html-0,false,14,3,0.2142857164144516,0,0.0,0,0.0,3,0.2142857164144516,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1428571492433548,14,1.0,0,0.0,false,false,3.29,1,25,6.0,18.5,4,159,41.0,15.57,1,151,40.0,2.93,0,8,2.0,1.43,1,5,1.0,0.0,0,0,0.0,0.57,0,4,1.0
www.theatlanticcities.com-jobs-and-economy.html-0,false,21,1,0.0476190485060215,0,0.0,0,0.0,2,0.095238097012043,1,0.0476190485060215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.14,1,4,1.0,6.48,2,20,3.0,2.86,2,20,4.0,3.62,0,4,1.0,1.81,0,2,1.0,0.0,0,0,0.0,0.0,0,0,0.0
www.theatlanticcities.com-jobs-and-economy.html-0,false,21,2,0.095238097012043,0,0.0,0,0.0,1,0.0476190485060215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.1,1,3,0.0,6.9,6,25,4.0,3.1,2,25,5.0,3.81,0,4,1.0,1.9,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
87022978_2241188169338211567-0,false,32,0,0.0,0,0.0,0,0.0,32,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,2.16,1,3,0.0,14.66,4,24,4.0,14.66,4,24,4.0,0.0,0,0,0.0,1.13,0,3,0.0,0.0,0,0,0.0,0.0,0,0,0.0
99959905_454308717018574439-0,true,19,0,0.0,0,0.0,1,0.05263157933950424,18,0.9473684430122375,0,0.0,0,0.0,1,0.05263157933950424,13,0.6842105388641357,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.32,1,2,0.0,7.63,0,14,4.0,7.63,0,14,4.0,0.0,0,0,0.0,0.11,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
99959905_454308717018574439-0,false,19,2,0.10526315867900848,15,0.7894737124443054,1,0.05263157933950424,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.05,1,2,0.0,1.89,0,8,2.0,0.53,0,8,2.0,1.37,0,2,1.0,0.16,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
99959905_454308717018574439-0,false,19,1,0.05263157933950424,17,0.8947368264198303,1,0.05263157933950424,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.05,1,2,0.0,2.11,0,6,1.0,0.32,0,6,1.0,1.79,0,2,1.0,0.05,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Global road accident injury data.html-0,false,179,8,0.044692736119031906,119,0.6648044586181641,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.02,1,4,0.0,2.02,1,30,2.0,0.5,0,30,2.0,1.53,0,4,1.0,0.34,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Global road accident injury data.html-0,false,179,7,0.03910614550113678,94,0.5251396894454956,0,0.0,1,0.005586592014878988,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.01,1,2,0.0,2.82,1,13,2.0,0.54,0,13,1.0,2.27,0,4,1.0,0.47,0,1,1.0,0.0,0,0,0.0,0.0,0,0,0.0
greeneconomypost.com.html-0,false,13,3,0.23076923191547394,0,0.0,0,0.0,2,0.1538461595773697,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07692307978868484,0,0.0,13,1.0,false,false,1.77,1,8,2.0,8.69,2,48,15.0,7.38,1,48,16.0,1.31,0,2,1.0,0.92,0,2,0.0,0.0,0,0,0.0,0.31,0,4,1.0
greeneconomypost.com.html-0,false,13,2,0.1538461595773697,0,0.0,0,0.0,2,0.1538461595773697,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07692307978868484,0,0.0,13,1.0,false,false,2.31,1,5,1.0,15.31,5,36,8.0,13.0,2,36,9.0,2.31,0,4,1.0,1.77,0,3,1.0,0.0,0,0,0.0,0.31,0,4,1.0
greeneconomypost.com.html-0,false,13,1,0.07692307978868484,0,0.0,0,0.0,2,0.1538461595773697,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07692307978868484,0,0.0,13,1.0,false,false,2.38,2,5,1.0,16.38,12,36,8.0,13.54,9,36,9.0,2.85,0,4,1.0,1.62,0,2,1.0,0.0,0,0,0.0,0.31,0,4,1.0
87022978_2241188169338211567-0,false,32,3,0.09375,0,0.0,31,0.96875,1,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.0,1,1,0.0,0.16,0,5,1.0,0.16,0,5,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
greeneconomypost.com.html-0,true,13,0,0.0,0,0.0,0,0.0,13,1.0,0,0.0,0,0.0,1,0.07692307978868484,10,0.7692307829856873,0,0.0,1,0.07692307978868484,0,0.0,13,1.0,false,false,1.54,1,4,1.0,10.62,5,36,8.0,10.62,5,36,8.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.31,0,4,1.0
87022978_2241188169338211567-0,true,32,2,0.0625,0,0.0,0,0.0,1,0.03125,0,0.0,0,0.0,1,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.66,1,4,1.0,11.19,6,25,7.0,11.19,6,25,7.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
87022978_2241188169338211567-0,false,32,1,0.03125,0,0.0,0,0.0,1,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,8.81,1,20,4.0,71.84,18,149,29.0,71.84,18,149,29.0,0.0,0,0,0.0,3.13,0,12,2.0,0.0,0,0,0.0,0.0,0,0,0.0
Global life expectancy rate at birth.html-0,true,235,0,0.0,0,0.0,0,0.0,235,1.0,0,0.0,0,0.0,1,0.0042553190141916275,184,0.7829787135124207,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.42,1,7,1.0,9.52,4,45,6.0,9.52,4,45,6.0,0.0,0,0,0.0,0.07,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Global life expectancy rate at birth.html-0,false,235,2,0.008510638028383255,3,0.012765957042574883,8,0.03404255211353302,1,0.0042553190141916275,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.02,1,6,0.0,4.73,0,38,2.0,1.11,0,38,2.0,3.62,0,4,1.0,0.96,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Global life expectancy rate at birth.html-0,false,235,1,0.0042553190141916275,3,0.012765957042574883,10,0.042553190141916275,1,0.0042553190141916275,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.02,1,6,0.0,4.72,0,48,3.0,1.14,0,48,3.0,3.57,0,4,1.0,0.95,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Global life expectancy rate at birth.html-0,false,235,4,0.01702127605676651,2,0.008510638028383255,8,0.03404255211353302,1,0.0042553190141916275,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.95,1,2,0.0,8.63,0,9,2.0,4.77,0,5,1.0,3.86,0,8,1.0,0.95,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Global life expectancy rate at birth.html-0,false,235,3,0.012765957042574883,1,0.0042553190141916275,8,0.03404255211353302,1,0.0042553190141916275,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.02,1,6,0.0,4.8,0,40,3.0,1.13,0,40,3.0,3.67,0,4,1.0,0.97,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Countries with aircraft carriers.html-0,true,15,0,0.0,0,0.0,0,0.0,15,1.0,0,0.0,0,0.0,0,0.0,13,0.8666666746139526,0,0.0,1,0.06666667014360428,14,0.9333333373069763,0,0.0,false,false,1.2,1,2,0.0,7.87,5,14,3.0,7.87,5,14,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.13,0,2,1.0
Countries with aircraft carriers.html-0,false,15,1,0.06666667014360428,0,0.0,0,0.0,6,0.4000000059604645,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06666667014360428,14,0.9333333373069763,0,0.0,false,false,2.27,1,3,1.0,12.6,10,14,1.0,11.93,10,14,2.0,0.67,0,2,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.13,0,2,1.0
history1900s.about.com.html-0,true,24,0,0.0,0,0.0,0,0.0,24,1.0,0,0.0,0,0.0,1,0.0416666679084301,18,0.75,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.04,1,2,0.0,7.79,5,15,2.0,7.79,5,15,2.0,0.0,0,0,0.0,0.08,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0
history1900s.about.com.html-0,false,24,1,0.0416666679084301,0,0.0,0,0.0,1,0.0416666679084301,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.08,1,3,0.0,7.29,5,25,4.0,2.13,1,25,5.0,5.17,0,7,1.0,1.13,1,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
history1900s.about.com.html-0,false,24,2,0.0833333358168602,4,0.1666666716337204,0,0.0,1,0.0416666679084301,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.04,1,2,0.0,6.25,1,18,3.0,1.67,0,18,4.0,4.58,0,7,2.0,0.92,0,2,1.0,0.0,0,0,0.0,0.0,0,0,0.0
16.html-0,false,190,5,0.02631578966975212,0,0.0,0,0.0,188,0.9894737005233765,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.46,1,5,1.0,8.53,3,35,6.0,8.53,3,35,6.0,0.0,0,0,0.0,0.07,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
16.html-0,false,190,4,0.021052632480859756,0,0.0,0,0.0,190,1.0,0,0.0,0,0.0,0,0.0,117,0.6157894730567932,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.29,1,4,1.0,9.35,3,31,5.0,9.35,3,31,5.0,0.0,0,0,0.0,0.23,0,4,1.0,0.0,0,0,0.0,0.0,0,0,0.0
16.html-0,false,190,3,0.015789473429322243,0,0.0,0,0.0,190,1.0,0,0.0,0,0.0,0,0.0,1,0.005263158120214939,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.45,1,8,1.0,8.97,4,52,6.0,8.97,4,52,6.0,0.0,0,0,0.0,0.01,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
16.html-0,false,190,2,0.010526316240429878,0,0.0,0,0.0,177,0.9315789341926575,0,0.0,0,0.0,0,0.0,51,0.2684210538864136,0,0.0,0,0.0,0,0.0,0,0.0,false,false,3.41,1,11,1.0,22.61,1,66,10.0,22.61,1,66,10.0,0.0,0,0,0.0,0.21,0,3,1.0,0.0,0,0,0.0,0.0,0,0,0.0
16.html-0,false,190,1,0.005263158120214939,0,0.0,0,0.0,188,0.9894737005233765,0,0.0,0,0.0,0,0.0,5,0.02631578966975212,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.23,1,3,1.0,8.54,1,32,5.0,8.54,1,32,5.0,0.0,0,0,0.0,0.16,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0
16.html-0,true,190,0,0.0,0,0.0,0,0.0,190,1.0,0,0.0,0,0.0,1,0.005263158120214939,141,0.74210524559021,0,0.0,0,0.0,0,0.0,0,0.0,false,false,1.44,1,5,1.0,9.71,4,32,5.0,9.71,4,32,5.0,0.0,0,0,0.0,0.07,0,3,0.0,0.0,0,0,0.0,0.0,0,0,0.0
